City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
328,tuburan,6.6439,122.2736,87.89,69,47,1.45,PH,1698629005
329,taulaga,-11.0553,-171.0883,83.26,74,100,10.29,AS,1698629005
330,gobabis,-22.45,18.9667,63.32,21,0,10.83,NA,1698629006
331,camapua,-19.5314,-54.0439,81.32,53,32,4.18,BR,1698629006
332,blantyre,-15.785,35.0085,69.01,81,100,7.47,MW,1698628899
333,dunda,-8.1167,34.25,68.16,61,96,3.15,TZ,1698629006
334,pariaman,-0.619,100.12,78.85,82,100,2.13,ID,1698629006
335,ardestan,33.3761,52.3694,63.73,33,100,2.84,IR,1698629006
336,saint-denis,48.9167,2.3333,55.18,86,100,9.22,FR,1698629007
337,benguela,-12.5763,13.4055,75.36,87,41,4.27,AO,1698629007
338,hadibu,12.65,54.0333,78.22,80,93,6.85,YE,1698629007
339,malanje,-9.5402,16.341,66.06,95,100,4.92,AO,1698629007
340,enewetak,11.3474,162.3373,84.07,72,80,20.74,MH,1698628878
341,iranshahr,27.2025,60.6848,74.98,42,5,1.23,IR,1698628905
342,kirakira,-10.4544,161.9205,84.38,75,97,9.55,SB,1698629007
343,hobyo,5.3505,48.5268,75.29,92,100,5.77,SO,1698629007
344,jashpurnagar,22.9,84.15,60.6,79,11,3.56,IN,1698629008
345,mount pearl,47.5166,-52.7813,39.96,69,75,29.93,CA,1698629008
346,mandiana,10.6333,-8.6833,75.79,62,0,2.82,GN,1698629008
347,port hedland,-20.3167,118.5667,86.05,74,40,11.5,AU,1698629008
348,san antonio de pale,-1.4014,5.6325,79.39,83,55,8.46,GQ,1698629008
349,patong,7.8961,98.2966,85.01,76,96,4.36,TH,1698629009
350,belyy yar,53.6039,91.3903,15.69,92,0,0.0,RU,1698629009
351,talnakh,69.4865,88.3972,-3.8,93,32,4.32,RU,1698629009
352,khetia,21.6667,74.5833,70.48,41,100,3.98,IN,1698629009
353,okhotsk,59.3833,143.3,25.56,74,18,7.67,RU,1698629009
354,the bottom,17.6259,-63.2492,79.36,84,100,16.75,BQ,1698629009
355,howard springs,-12.497,131.047,89.82,66,38,5.01,AU,1698629010
356,makoua,0.0069,15.6333,76.71,78,100,2.06,CG,1698629010
